"Numvoie","B_T_Q","TypeDeVoie","Voie","CodePostal","Commune"
72,,"CHE","DES COLLINES",1630,"SERGY"
86,,"RUE","DE MEYRIN",1210,"FERNEY-VOLTAIRE"
181,,"RUE","PARC JEAN MONNET",1630,"ST-GENIS-POUILLY"
28,,"CHE","DU PEUDEX",1220,"DIVONNE-LES-BAINS"
62,,"CHE","DU PONT DE GREMAZ",1710,"THOIRY"
1,,"ALL","ALBERT CAMUS",1200,"VALSERHONE"
10,,"RUE","DES HAUTAINS",1630,"ST-GENIS-POUILLY"
13,,"PL","DES FOURS",1300,"BELLEY"
4,,"CHE","DU MARAIS",1280,"PREVESSIN-MOENS"
67,,"RTE","DE GENEVE",1170,"CESSY"
644,,"RUE","D ARBERE",1220,"DIVONNE-LES-BAINS"
67,,"RTE","DE CHAVORNOD",1300,"BELLEY"
96,,"RUE","DU JURA",1220,"DIVONNE-LES-BAINS"
282,,"CHE","DES LONGES RAYES",1170,"CESSY"
152,,"GR","GRANDE RUE",1220,"DIVONNE-LES-BAINS"
170,,"RUE","DES TERREAUX",1170,"GEX"
399,,"RUE","DU COTEILLON",1150,"LAGNIEU"
780,,"RUE","DE LA REPUBLIQUE",1550,"FARGES"
53,,"ALL","DES PRUNUS",1630,"ST-GENIS-POUILLY"
71,,"CHE","DE LA PRALAY",1170,"CROZET"
46,,"AV","DES NATIONS",1330,"VILLARS-LES-DOMBES"
13,,"RUE","DE LAYE",1800,"MEXIMIEUX"
151,,"RTE","DE BELLEVILLE",1090,"MONTCEAUX"
9,,"RUE","NEUVE",1120,"MONTLUEL"
768,,"RUE","EDOUARD HERRIOT",1480,"JASSANS-RIOTTIER"
172,,"RUE","HECTOR BERLIOZ",1480,"BEAUREGARD"
2,,"RUE","DE LYON",1800,"MEXIMIEUX"
1172,,"RTE","DE GENEVE",1120,"DAGNEUX"
62,,"CHE","DU BONATIER",1390,"MIONNAY"
40,,"MTE","DES CANNES",1800,"VILLIEU-LOYES-MOLLON"
12,,"RUE","LUCIEN QUITTELIER",2300,"CHAUNY"
27,,"RUE","FERNAND THUILLART",2000,"LAON"
1,,"RUE","CONDORCET",2000,"LAON"
15,,"RUE","DU REMPART SAINT REMY",2000,"LAON"
11,,"RUE","BONNOT",2000,"LAON"
2,,"RUE","MAZIN",2800,"LA FERE"
13,,"RUE","PAUL DOUMER",2000,"LAON"
20,"G","RUE","DES OEUVRES DE CHINE",2300,"CHAUNY"
13,,"RUE","VINCHON",2000,"LAON"
15,,"RUE","DU CHANGE",2000,"LAON"
13,,"RUE","PAUL DOUMER",2000,"LAON"
13,,"RUE","PAUL DOUMER",2000,"LAON"
27,,"RUE","CARLIER HENNECART",2000,"LAON"
9001,,"RUE","JEAN DE LA FONTAINE",2000,"LAON"
27,,"RUE","JEAN RACINE",2000,"LAON"
10,,"PL","DU MARCHE",2000,"LAON"
32,,"RUE","DE LA LINOTTE",2000,"LAON"
1,,"RUE","CONDORCET",2000,"LAON"
1,,"RLE","DES NEUFLIERS",2000,"LAON"
30,,"RUE","DE L EGLISE",2000,"URCEL"
1,,"PL","BOUZIER",2300,"CHAUNY"
1,,"RUE","CONDORCET",2000,"LAON"
30,,"RUE","SERURIER",2000,"LAON"
16,,"RUE","DE MONTEVIDEO",2410,"SAINT GOBAIN"
108,,"BD","GAMBETTA",2700,"TERGNIER"
32,,"RUE","DE LA LINOTTE",2000,"LAON"
32,,"RUE","DE LA LINOTTE",2000,"LAON"
32,,"RUE","DE LA LINOTTE",2000,"LAON"
9003,,"RUE","ROBERT GODARD",2670,"FOLEMBRAY"
4,,"RUE","DE LA CONGREGATION",2000,"LAON"
21,,"RUE","AMPERE",2000,"LAON"
3,,"AV","CARNOT",2000,"LAON"
30,,"RUE","SERURIER",2000,"LAON"
2,,"RUE","DE LA SELLERIE",2100,"SAINT QUENTIN"
1,,"RUE","D ISLE",2100,"SAINT QUENTIN"
23,,"RUE","DU GOUVERNEMENT",2100,"SAINT QUENTIN"
15,,"RUE","VARLET",2100,"SAINT QUENTIN"
2,,"PL","FERNAND MARQUIGNY",2200,"SOISSONS"
36,,"RUE","DU MOULIN BOTTE",2200,"COURMELLES"
12,,"RUE","DES PAVEURS",2200,"SOISSONS"
2,,"BD","JEANNE D ARC",2200,"SOISSONS"
