"SurfaceCarrezLot1","SurfaceCarrezLot2","SurfaceCarrezLot3","SurfaceCarrezLot4","SurfaceCarrezLot5","NombreDeLot","SurfaceReelleBati","NombrePiecesPrincipale","SurfaceTerrain","TypeDeLocal","NatureCulture","NatureCultureSpeciale"
25,,,,,1,64,3,,"Appartement",,
148.41,,,,,1,155,5,,"Appartement",,
47.44,,,,,1,48,2,,"Appartement",,
80.14,,,,,1,90,4,,"Maison",,
53.42,,,,,1,53,3,,"Appartement",,
66.36,,,,,1,67,3,,"Appartement",,
28.13,,,,,1,29,1,,"Appartement",,
88.14,,,,,1,119,4,,"Maison",,
77.91,,,,,1,76,3,,"Appartement",,
26.4,,,,,1,27,1,,"Appartement",,
119.4,,,,,1,122,4,,"Appartement",,
33.49,,,,,2,32,1,,"Appartement",,
96.4,,,,,1,127,4,,"Appartement",,
53.22,,,,,1,52,2,,"Appartement",,
142.98,,,,,2,143,5,,"Appartement",,
50.16,,,,,3,43,2,,"Appartement",,
108.49,,,,,1,127,4,,"Appartement",,
29.16,,,,,2,29,1,,"Appartement",,
79.27,,,,,1,81,4,,"Maison",,
64.21,,,,,1,67,4,,"Appartement",,
121.9,,,,,2,122,5,,"Appartement",,
145.28,,,,,1,145,4,,"Maison",,
49.99,,,,,1,49,3,,"Appartement",,
58.67,,,,,1,58,2,,"Appartement",,
55.74,,,,,1,50,3,,"Maison",,
77.56,,,,,2,77,5,,"Appartement",,
49.33,,,,,2,48,2,,"Appartement",,
47.02,,,,,3,36,3,,"Appartement",,
37.18,,,,,6,75,2,,"Appartement",,
106,,,,,3,109,6,,"Maison",,
39.62,,,,,3,64,3,,"Maison",,
81.62,,,,,1,81,4,,"Appartement",,
41.42,,,,,1,44,1,,"Appartement",,
62.15,,,,,1,83,3,,"Appartement",,
59.81,,,,,2,59,4,,"Appartement",,
20.45,,,,,1,26,1,,"Appartement",,
89.56,,,,,1,86,3,,"Appartement",,
570,,,,,1,110,6,,"Maison",,
21.4,,,,,1,21,1,,"Appartement",,
49.46,,,,,1,57,2,,"Appartement",,
45.12,,,,,1,44,2,,"Appartement",,
68.95,,,,,2,72,3,,"Appartement",,
76.95,,,,,2,76,3,,"Appartement",,
72.93,,,,,1,72,2,,"Appartement",,
65.9,,,,,2,64,3,,"Appartement",,
31.84,,,,,1,32,2,,"Appartement",,
20.69,,,,,1,23,1,,"Appartement",,
29.36,,,,,1,33,1,,"Appartement",,
67.85,,,,,3,54,3,,"Appartement",,
51.07,,,,,1,42,3,,"Appartement",,
29.21,,,,,1,30,1,,"Appartement",,
23.7,,,,,1,25,1,,"Appartement",,
73.94,,,,,1,75,3,,"Appartement",,
93.89,,,,,1,110,6,,"Maison",,
68.37,,,,,1,67,3,,"Appartement",,
73.65,,,,,1,73,3,,"Appartement",,
31.62,,,,,2,32,1,,"Appartement",,
60.2,,,,,2,60,3,,"Appartement",,
48.5,,,,,1,54,3,,"Appartement",,
57.74,,,,,2,58,3,,"Appartement",,
78.24,,,,,1,75,4,,"Appartement",,
64.24,,,,,1,64,3,,"Appartement",,
34.46,,,,,1,33,2,,"Appartement",,
124.01,,,,,3,77,3,,"Appartement",,
34.9,,,,,1,38,1,,"Appartement",,
22.19,,,,,1,22,1,,"Appartement",,
83.87,,,,,2,84,4,,"Appartement",,
107.77,,,,,1,112,5,,"Maison",,
61.4,,,,,2,60,4,,"Appartement",,
128.8,,,,,1,85,5,,"Maison",,
58.46,,,,,2,59,3,,"Appartement",,
40.06,,,,,2,40,2,,"Appartement",,
78.3,,,,,2,79,4,,"Appartement",,
106,,,,,2,105,5,,"Appartement",,
74.54,,,,,1,80,3,,"Appartement",,
81.72,,,,,2,79,3,,"Appartement",,
67.64,,,,,2,67,4,,"Appartement",,
42.98,,,,,2,47,2,,"Appartement",,
40.57,,,,,3,45,2,,"Appartement",,
105.71,,,,,1,119,4,,"Appartement",,
106.43,,,,,3,133,4,,"Appartement",,
29.74,,,,,1,31,1,,"Appartement",,
65.4,,,,,1,66,3,,"Appartement",,
144.6,,,,,1,120,4,,"Appartement",,
24.74,,,,,1,24,1,,"Appartement",,
32.89,,,,,1,33,1,,"Appartement",,
20.92,,,,,1,20,1,,"Appartement",,
93.76,,,,,1,120,4,,"Appartement",,
20.73,,,,,1,20,1,,"Appartement",,
26.6,,,,,1,27,2,,"Appartement",,
40,,,,,1,50,3,,"Appartement",,
27.46,,,,,1,26,1,,"Appartement",,
51.42,,,,,1,51,2,,"Appartement",,
71.39,,,,,1,71,3,,"Maison",,
41.16,,,,,1,49,2,,"Appartement",,
65.5,,,,,1,32,2,,"Appartement",,
34.95,,,,,1,35,2,,"Appartement",,
60.66,,,,,1,52,3,,"Appartement",,
24.32,,,,,1,25,1,,"Appartement",,
23.02,,,,,1,23,1,,"Appartement",,
59.73,,,,,1,63,2,,"Appartement",,
33.05,,,,,1,33,2,,"Appartement",,
23.25,,,,,1,23,1,,"Appartement",,
