"IDCommune","CodePostal","Commune"
307,11430,"GRUISSAN"
308,11440,"PEYRIAC DE MER"
309,11510,"FITOU"
310,11560,"FLEURY D AUDE"
311,11800,"TREBES"
312,12000,"LE MONASTERE"
313,13001,"MARSEILLE 1ER"
314,13002,"MARSEILLE 2EME"
315,13003,"MARSEILLE 3EME"
316,13004,"MARSEILLE 4EME"
317,13004,"MARSEILLE 12EME"
318,13005,"MARSEILLE 5EME"
319,13006,"MARSEILLE 6EME"
320,13007,"MARSEILLE 7EME"
321,13008,"MARSEILLE 8EME"
322,13009,"MARSEILLE 9EME"
323,13010,"MARSEILLE 10EME"
324,13011,"MARSEILLE 11EME"
325,13012,"MARSEILLE 12EME"
326,13013,"MARSEILLE 14EME"
327,13013,"MARSEILLE 13EME"
328,13014,"MARSEILLE 14EME"
329,13015,"MARSEILLE 15EME"
330,13016,"MARSEILLE 16EME"
331,13100,"AIX EN PROVENCE"
332,13112,"LA DESTROUSSE"
333,13119,"SAINT SAVOURNIN"
334,13124,"PEYPIN"
335,13127,"VITROLLES"
336,13140,"MIRAMAS"
337,13160,"CHATEAURENARD"
338,13180,"GIGNAC-LA-NERTHE"
339,13190,"ALLAUCH"
340,13200,"ARLES"
341,13210,"SAINT-REMY-DE-PROVENCE"
342,13220,"CHATEAUNEUF-LES-MARTIGUES"
343,13260,"CASSIS"
344,13300,"SALON-DE-PROVENCE"
345,13360,"ROQUEVAIRE"
346,13380,"PLAN DE CUQUES"
347,13390,"AURIOL"
348,13400,"AUBAGNE"
349,13420,"GEMENOS"
350,13430,"EYGUIERES"
351,13470,"CARNOUX-EN-PROVENCE"
352,13600,"LA CIOTAT"
353,13630,"EYRAGUES"
354,13690,"GRAVESON"
355,13700,"MARIGNANE"
356,13720,"LA BOUILLADISSE"
357,13780,"CUGES LES PINS"
358,13790,"ROUSSET"
359,13820,"ENSUES-LA-REDONNE"
360,13821,"LA PENNE SUR HUVEAUNE"
361,13830,"ROQUEFORT LA BEDOULE"
362,13850,"GREASQUE"
363,14000,"CAEN"
364,14100,"LISIEUX"
365,14130,"PONT-L EVEQUE"
366,14160,"DIVES-SUR-MER"
367,14360,"TROUVILLE-SUR-MER"
368,14430,"DOZULE"
369,14450,"GRANDCAMP-MAISY"
370,14510,"HOULGATE"
371,14600,"HONFLEUR"
372,14600,"EQUEMAUVILLE"
373,14600,"RIVIERE-SAINT-SAUVEUR (LA)"
374,14640,"VILLERS-SUR-MER"
375,14800,"DEAUVILLE"
376,14800,"TOURGEVILLE"
377,14800,"TOUQUES"
378,14800,"SAINT-ARNOULT"
379,14810,"MERVILLE FRANCEVILLE"
380,14910,"BLONVILLE-SUR-MER"
381,14910,"BENERVILLE-SUR-MER"
382,16000,"ANGOULEME"
383,16160,"GOND PONTOUVRE"
384,16300,"BARBEZIEUX SAINT HILAIRE"
385,16340,"L'ISLE D'ESPAGNAC"
386,16470,"SAINT-MICHEL"
387,16600,"RUELLE-SUR-TOUVRE"
388,16800,"SOYAUX"
389,17000,"LA ROCHELLE"
390,17100,"SAINTES"
391,17110,"SAINT-GEORGES-DE-DIDONNE"
392,17111,"LOIX"
393,17120,"BARZAN"
394,17132,"MESCHERS-SUR-GIRONDE"
395,17138,"SAINT-XANDRE"
396,17138,"PUILBOREAU"
397,17139,"DOMPIERRE-SUR-MER"
398,17140,"LAGORD"
399,17170,"COURCON"
400,17180,"PERIGNY"
401,17220,"CLAVETTE"
402,17230,"MARANS"
403,17300,"ROCHEFORT"
404,17340,"CHATELAILLON-PLAGE"
405,17400,"ST JEAN D'ANGELY"
406,17410,"SAINT-MARTIN-DE-RE"
407,17430,"TONNAY CHARENTE"
408,17440,"AYTRE"
409,17450,"FOURAS"
410,17590,"ARS-EN-RE"
411,17600,"SAUJON"
412,17690,"ANGOULINS"
413,17880,"LES PORTES-EN-RE"
414,18000,"BOURGES"
415,18100,"VIERZON"
416,18200,"SAINT-AMAND-MONTROND"
417,18400,"SAINT-FLORENT-SUR-CHER"
418,18500,"MEHUN-SUR-YEVRE"
419,18500,"ALLOUIS"
420,18570,"MORTHOMIERS"
421,18700,"AUBIGNY-SUR-NERE"
422,19000,"TULLE"
423,19100,"BRIVE LA GAILLARDE"
424,19200,"USSEL"
425,19230,"SAINT-SORNIN-LAVOLPS"
426,19260,"TREIGNAC"
427,19270,"USSAC"
428,19270,"SAINTE FEREOLE"
429,19360,"MALEMORT"
430,20000,"AJACCIO"
431,20000,"LECCI"
432,20090,"AJACCIO"
433,20100,"SARTENE"
434,20110,"PROPRIANO"
435,20110,"ARBELLARA"
436,20110,"BELVEDERE-CAMPOMORO"
437,20110,"VIGGIANELLO"
438,20111,"CASAGLIONE"
439,20111,"CALCATOGGIO"
440,20113,"OLMETO"
441,20115,"PIANA"
442,20117,"CAURO"
443,20118,"VICO"
444,20118,"COGGIA"
445,20122,"QUENZA"
446,20128,"GROSSETO-PRUGNA"
447,20128,"ALBITRECCIA"
448,20129,"BASTELICACCIA"
449,20131,"PIANOTTOLI-CALDARELLO"
450,20134,"PALNECA"
451,20137,"PORTO-VECCHIO"
452,20137,"LECCI"
453,20138,"COTI-CHIAVARI"
454,20140,"ARGIUSTA-MORICCIO"
455,20140,"SERRA-DI-FERRO"
456,20140,"CASALABRIVA"
457,20144,"ZONZA"
458,20145,"SARI-SOLENZARA"
459,20146,"SOTTA"
460,20150,"OTA"
461,20157,"FRASSETO"
462,20160,"VICO"
463,20160,"COGGIA"
464,20163,"TAVERA"
465,20166,"PIETROSELLA"
466,20166,"GROSSETO-PRUGNA"
467,20166,"ALBITRECCIA"
468,20167,"SARROLA-CARCOPINO"
469,20167,"APPIETTO"
470,20167,"CUTTOLI-CORTICCHIATO"
471,20169,"BONIFACIO"
472,20190,"SANTA-MARIA-SICHE"
473,20220,"AREGNO"
474,20220,"L'ILE ROUSSE"
475,20221,"CERVIONE"
476,20232,"OLETTA"
477,21000,"DIJON"
478,22000,"SAINT-BRIEUC"
479,22100,"DINAN"
480,22100,"TADEN"
481,22100,"LANVALLAY"
482,22120,"HILLION"
483,22130,"PLANCOET"
484,22170,"CHATELAUDREN-PLOUAGAT"
485,22190,"PLERIN"
486,22200,"GUINGAMP"
487,22220,"TREGUIER"
488,22240,"FREHEL"
489,22250,"BROONS"
490,22300,"LANNION"
491,22310,"PLESTIN-LES-GREVES"
492,22350,"CAULNES"
493,22360,"LANGUEUX"
494,22370,"PLENEUF-VAL-ANDRE"
495,22380,"SAINT-CAST-LE-GUILDO"
496,22400,"LAMBALLE-ARMOR"
497,22400,"NOYAL"
498,22410,"SAINT-QUAY-PORTRIEUX"
499,22430,"ERQUY"
500,22440,"PLOUFRAGAN"
501,22500,"PAIMPOL"
502,22550,"MATIGNON"
503,22560,"TREBEURDEN"
504,22580,"PLOUHA"
505,22600,"LOUDEAC"
506,22650,"BEAUSSAIS-SUR-MER"
507,22660,"TREVOU-TREGUIGNEC"
508,22680,"BINIC-ETABLES-SUR-MER"
509,22700,"PERROS-GUIREC"
510,22770,"LANCIEUX"
511,22950,"TREGUEUX"
512,22970,"PLOUMAGOAR"
513,23000,"GUERET"
514,23300,"LA SOUTERRAINE"
515,24000,"PERIGUEUX"
516,24100,"BERGERAC"
517,24120,"TERRASSON LAVILLEDIEU"
518,24200,"SARLAT-LA-CANEDA"
519,24230,"LAMOTHE-MONTRAVEL"
520,24250,"CASTELNAUD-LA-CHAPELLE"
521,24510,"VAL DE LOUYRE ET CAUDEAU"
522,24580,"ROUFFIGNAC-ST-CERNIN-DE-REILHA"
523,24660,"COULOUNIEIX-CHAMIERS"
524,24750,"TRELISSAC"
525,24750,"BOULAZAC ISLE MANOIRE"
526,25000,"BESANCON"
527,25110,"BAUME LES DAMES"
528,25130,"VILLERS LE LAC"
529,25140,"CHARQUEMONT"
530,25200,"MONTBELIARD"
531,25220,"ROCHE LEZ BEAUPRE"
532,25230,"SELONCOURT"
533,25240,"MOUTHE"
534,25290,"ORNANS"
535,25300,"PONTARLIER"
536,25300,"GRANGES NARBOZ"
537,25300,"DOUBS"
538,25300,"LA CLUSE ET MIJOUX"
539,25300,"LES FOURGS"
540,25310,"HERIMONCOURT"
541,25320,"BOUSSIERES"
542,25370,"JOUGNE"
543,25370,"LES HOPITAUX NEUFS"
544,25370,"ROCHEJEAN"
545,25370,"METABIEF"
546,25400,"AUDINCOURT"
547,25410,"SAINT VIT"
548,25480,"MISEREY SALINES"
549,25500,"MORTEAU"
550,25500,"MONTLEBON"
551,25580,"ETALANS"
552,25620,"MAMIROLLE"
553,25800,"VALDAHON"
554,25870,"GENEUILLE"
555,25870,"BONNAY"
556,25870,"LES AUXONS"
557,25960,"DELUZ"
558,26000,"VALENCE"
559,26100,"ROMANS-SUR-ISERE"
560,26110,"MIRABEL-AUX-BARONNIES"
561,26110,"NYONS"
562,26120,"CHABEUIL"
563,26120,"MONTELIER"
564,26130,"SAINT-PAUL-TROIS-CHATEAUX"
565,26130,"MONTSEGUR-SUR-LAUZON"
566,26140,"SAINT-RAMBERT-D ALBON"
567,26200,"MONTELIMAR"
568,26200,"ANCONE"
569,26210,"MORAS-EN-VALLOIRE"
570,26220,"DIEULEFIT"
571,26240,"SAINT VALLIER"
572,26240,"PONSAS"
573,26250,"LIVRON SUR DROME"
574,26260,"SAINT-DONAT-SUR-L HERBASSE"
575,26270,"LORIOL SUR DROME"
576,26290,"DONZERE"
577,26300,"BOURG-DE-PEAGE"
578,26400,"CREST"
579,26420,"SAINT-AGNAN-EN-VERCORS"
580,26500,"BOURG LES VALENCE"
581,26540,"MOURS-SAINT-EUSEBE"
582,26600,"LA ROCHE DE GLUN"
583,26600,"PONT DE L ISERE"
584,26600,"MERCUROL-VEAUNES"
585,26600,"TAIN L HERMITAGE"
586,26700,"PIERRELATTE"
587,26740,"MONTBOUCHER-SUR-JABRON"
588,26740,"SAUZET"
589,26760,"BEAUMONT LES VALENCE"
590,26770,"SAINT-PANTALEON-LES-VIGNES"
591,26790,"TULETTE"
592,26800,"BEAUVALLON"
593,26800,"PORTES LES VALENCE"
594,27000,"EVREUX"
595,27120,"PACY-SUR-EURE"
596,27130,"VERNEUIL D'AVRE ET D'ITON"
597,27140,"GISORS"
598,27170,"BEAUMONT LE ROGER"
599,27190,"CONCHES EN OUCHE"
600,27200,"VERNON"
601,27250,"RUGLES"
602,27270,"LA TRINITE DE REVILLE"
603,27300,"BERNAY"
604,27530,"EZY SUR EURE"
605,27600,"GAILLON"
606,27700,"LES ANDELYS"
607,27730,"BUEIL"
608,27930,"GRAVIGNY"
609,27950,"ST MARCEL"
610,28000,"CHARTRES"
611,28100,"DREUX"
612,28110,"LUCE"
613,28130,"HANCHES"
614,28130,"MAINTENON"
615,28130,"CHARTAINVILLIERS"
616,28170,"CHATEAUNEUF EN THYMERAIS"
617,28190,"COURVILLE SUR EURE"
618,28200,"CHATEAUDUN"
619,28200,"ST DENIS-LANNERAY"
620,28210,"LORMAYE"
621,28210,"NOGENT-LE-ROI"
622,28210,"CHAUDON"
623,28210,"COULOMBS"
624,28230,"EPERNON"
625,28260,"ANET"
626,28300,"MAINVILLIERS"
627,28300,"LEVES"
628,28300,"GASVILLE OISEME"
629,28300,"ST PREST"
630,28300,"JOUY"
