Code Domaine,Domaine,Code zone (FAO),Zone,Code Élément,Élément,Code Produit (FAO),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"SCL","Compte Disponibilités et Utilisations (CDU)","9","Argentine","5510","Production","44","Orge","2019","2019","tonnes","5117247","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","9","Argentine","5510","Production","27","Riz, paddy","2019","2019","tonnes","1189866","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","9","Argentine","5510","Production","71","Seigle","2019","2019","tonnes","86566","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","9","Argentine","5510","Production","83","Sorgho","2019","2019","tonnes","1601435","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","1","Arménie","5510","Production","75","Avoine","2019","2019","tonnes","3388","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","1","Arménie","5510","Production","15","Blé","2019","2019","tonnes","112621","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","1","Arménie","5510","Production","108","Ceréales nda","2019","2019","tonnes","5775","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","1","Arménie","5510","Production","56","Maïs","2019","2019","tonnes","4758","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","1","Arménie","5510","Production","44","Orge","2019","2019","tonnes","68333","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","1","Arménie","5510","Production","27","Riz, paddy","2019","2019","tonnes","0","M","Donnée non disponible"
"SCL","Compte Disponibilités et Utilisations (CDU)","1","Arménie","5510","Production","71","Seigle","2019","2019","tonnes","188","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","10","Australie","5510","Production","101","Alpiste","2019","2019","tonnes","4974","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","10","Australie","5510","Production","75","Avoine","2019","2019","tonnes","1134619","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","10","Australie","5510","Production","15","Blé","2019","2019","tonnes","17597561","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","10","Australie","5510","Production","56","Maïs","2019","2019","tonnes","327206","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","10","Australie","5510","Production","79","Mils","2019","2019","tonnes","36375","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","10","Australie","5510","Production","44","Orge","2019","2019","tonnes","8818946","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","10","Australie","5510","Production","27","Riz, paddy","2019","2019","tonnes","66835","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","10","Australie","5510","Production","71","Seigle","2019","2019","tonnes","32248","Im","Données de la FAO basées sur une méthodologie d'imputation"
"SCL","Compte Disponibilités et Utilisations (CDU)","10","Australie","5510","Production","83","Sorgho","2019","2019","tonnes","1160479","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","10","Australie","5510","Production","97","Triticale","2019","2019","tonnes","59461","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","11","Autriche","5510","Production","75","Avoine","2019","2019","tonnes","77350","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","11","Autriche","5510","Production","15","Blé","2019","2019","tonnes","1596880","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","11","Autriche","5510","Production","103","Céréales mélangées","2019","2019","tonnes","19770","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","11","Autriche","5510","Production","108","Ceréales nda","2019","2019","tonnes","22550","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","11","Autriche","5510","Production","56","Maïs","2019","2019","tonnes","2298880","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","11","Autriche","5510","Production","44","Orge","2019","2019","tonnes","828130","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","11","Autriche","5510","Production","71","Seigle","2019","2019","tonnes","199670","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","11","Autriche","5510","Production","83","Sorgho","2019","2019","tonnes","29740","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","11","Autriche","5510","Production","97","Triticale","2019","2019","tonnes","326340","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","52","Azerbaïdjan","5510","Production","75","Avoine","2019","2019","tonnes","13542","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","52","Azerbaïdjan","5510","Production","15","Blé","2019","2019","tonnes","2114139","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","52","Azerbaïdjan","5510","Production","56","Maïs","2019","2019","tonnes","283570","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","52","Azerbaïdjan","5510","Production","79","Mils","2019","2019","tonnes","5468","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","52","Azerbaïdjan","5510","Production","44","Orge","2019","2019","tonnes","988184","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","52","Azerbaïdjan","5510","Production","27","Riz, paddy","2019","2019","tonnes","11070","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","52","Azerbaïdjan","5510","Production","71","Seigle","2019","2019","tonnes","531","","Donnée officielle"
"SCL","Compte Disponibilités et Utilisations (CDU)","52","Azerbaïdjan","5510","Production","83","Sorgho","2019","2019","tonnes","261","","Donnée officielle"
