product_id,price,onsale_web,stock_quantity,sku,total_sales,post_name
4280,18.9,1,46,15690,0.0,cazeneuve-languedoc-blanc-2016
4281,11.6,1,4,16330,0.0,chateau-de-cazeneuve-val-montferrand-caza-sorix-2019
4283,27.0,1,58,16154,4.0,chateau-de-cazeneuve-pic-saint-loup-roc-des-mates-2017
4285,41.0,1,24,16153,8.0,chateau-de-cazeneuve-pic-saint-loup-le-sang-du-calvaire-2017
4286,69.8,1,4,16066,10.0,hauvette-baux-provence-amethyste-2017
4287,38.6,1,22,16065,1.0,domaine-hauvette-cornaline-2014
4288,26.7,1,8,15292,1.0,domaine-hauvette-igp-alpilles-jaspe-2017-2
4289,22.8,0,0,13771,,post_name_vide
4297,19.0,1,26,16246,0.0,la-tour-du-bon-bandol-blanc-2019
4298,23.2,1,36,16501,1.0,domaine-de-la-tour-du-bon-bandol-2018
4299,39.1,1,18,16578,0.0,domaine-de-la-tour-du-bon-bandol-saint-ferreol-2018
4300,44.0,1,15,15567,1.0,domaine-de-la-tour-du-bandol-en-sol-2017
4301,17.5,1,14,16553,3.0,domaine-de-la-tour-du-bon-bandol-rose-2019
4303,30.0,1,0,13172,0.0,rimauresq-cotes-provence-quintessence-2015
4304,8.1,1,133,15120,0.0,idylle-savoie-cruet-2018
4306,10.7,1,41,15949,1.0,domaine-de-lidylle-savoie-roussette-2018
4307,10.9,1,0,15946,0.0,domaine-de-lidylle-savoie-mondeuse-2018
4334,49.0,1,0,7818,96.0,champagne-gosset-grand-blanc-de-blanc
4336,35.5,1,36,13599,1.0,champagne-mailly-grand-cru-blanc-de-pinot-noir
4337,83.0,1,13,4679,0.0,champagne-mailly-grand-cru-les-echansons-2007
4348,59.0,1,21,12586,0.0,champagne-egly-ouriet-tradition-grand-cru
4350,79.5,1,20,12588,0.0,champagne-egly-ouriet-extra-brut-vp
4352,225.0,1,0,15940,5.0,champagne-egly-ouriet-grand-cru-millesime-2008
4353,79.5,1,11,12587,3.0,champagne-egly-ouriet-grand-cru-brut-rose
4355,126.5,1,2,12589,11.0,champagne-egly-ouriet-grand-cru-brut-blanc-de-noirs
4356,51.6,1,5,12585,12.0,champagne-egly-ouriet-premier-cru-vrigny
4357,39.0,1,0,9562,0.0,champagne-larmandier-bernier-latitude
4358,77.0,1,0,13854,0.0,champagne-larmandier-bernier-vieilles-vignes-levant-2008
4359,85.6,1,0,13853,1.0,champagne-larmandier-bernier-grand-cru-vieilles-chemins-avize-2011
4364,49.5,1,6,11585,1.0,whisky-wemyss-the-hive
4391,49.5,1,7,11467,0.0,whisky-wemyss-peat-chimney
4392,49.5,1,13,11586,0.0,whisky-wemyss-spice-king
4393,57.0,1,2,13765,0.0,whisky-wemyss-vanilla-burst
4394,59.8,1,0,13766,0.0,whisky-wemyss-treacle-chest
4395,27.5,1,8,11587,0.0,whisky-lord-elcho
4396,62.0,1,7,9636,0.0,whisky-wemyss-the-hive-12-ans
4397,59.0,1,7,12639,0.0,whisky-wemyss-the-hive-batch-strength
4398,59.0,1,0,12641,0.0,whisky-wemyss-peat-chimney-batch-strength
4399,59.0,1,6,12640,1.0,whisky-wemyss-spice-king-batch-strength
4400,44.0,1,0,14768,0.0,cognac-frapin-1270
4401,62.5,1,1,3506,1.0,cognac-frapin-vsop
4402,176.0,1,8,3510,13.0,cognac-frapin-vip-xo
4404,108.5,1,2,3507,2.0,cognac-frapin-fontpinot-xo
